,1a,1b,1c,1d,1e,1f,1g,1h,2a,2b,2c,2d,2e,2f,2g,2h,3a,3b,3c,3d,3e,3f,3g,3h,4a,4b,4c,4d,4e,4f,4g,4h,5a,5b,5c,5d,5e,5f,5g,5h,6a,6b,6c,6d,6e,6f,6g,6h,7a,7b,7c,7d,7e,7f,7g,7h,8a,8b,8c,8d,8e,8f,8g,8h,val
2410,r,n,b,q,k,0,0,r,p,p,p,p,p,p,b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,p,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,P,P,P,0,P,P,P,R,0,B,Q,K,B,0,R,330.0
2411,r,n,b,q,k,0,0,r,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p,p,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,B,P,P,0,P,P,P,R,0,0,Q,K,B,0,R,524.5
2412,r,n,b,q,k,0,0,B,0,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,p,0,0,0,0,0,p,p,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,Q,K,B,0,R,1021.0
2413,r,n,b,q,0,k,0,B,0,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,p,0,0,0,0,0,p,Q,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,1127.0
2414,r,n,b,q,0,k,0,0,0,p,p,p,0,p,0,0,0,0,0,0,p,B,0,0,p,0,0,0,0,0,p,Q,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,1621.0
2415,r,n,b,0,0,k,0,0,0,p,p,p,0,p,0,0,0,0,0,0,p,N,0,0,p,0,0,0,0,0,p,Q,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,1803.5
2416,r,n,b,0,0,k,0,Q,0,0,p,p,0,p,0,0,0,0,0,0,p,N,0,0,p,p,0,0,0,0,p,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,1920.5
2417,r,n,b,0,0,0,0,Q,0,0,p,p,k,p,0,0,0,0,0,0,p,0,0,0,p,p,0,0,0,0,p,0,0,0,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,1918.5
2418,r,n,Q,0,0,0,0,0,0,0,p,p,k,p,0,0,0,0,0,0,p,0,0,0,p,0,0,0,0,0,p,0,0,p,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,2213.0
2419,0,n,0,0,0,0,0,0,0,Q,p,p,k,p,0,0,r,0,0,0,p,0,0,0,p,0,0,0,0,0,p,0,0,p,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,2418.0
2420,0,n,0,0,0,0,0,0,0,0,Q,p,k,p,0,0,0,r,0,0,p,0,0,0,p,0,0,0,0,0,p,0,0,p,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,2317.5
2421,0,n,0,0,0,k,0,0,0,0,0,p,0,p,0,0,0,Q,0,0,p,0,0,0,p,0,0,0,0,0,p,0,0,p,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,2812.0
2422,0,Q,0,0,0,k,0,0,0,0,0,p,0,p,0,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,p,0,p,p,0,0,N,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,2915.0
2423,0,Q,0,0,0,0,0,0,0,0,0,p,k,p,0,0,0,0,0,0,p,0,0,0,0,0,0,0,0,0,N,0,p,p,0,0,0,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,3015.0
2424,0,0,0,0,0,0,0,0,0,0,0,0,k,p,0,0,0,0,0,0,p,0,0,0,0,0,0,p,0,0,N,0,p,Q,0,0,0,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,3109.0
2425,0,0,0,0,0,0,0,0,0,0,0,k,0,p,0,0,0,0,0,0,p,0,0,0,0,0,0,p,0,0,N,0,Q,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,3206.0
2426,0,0,0,k,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,p,0,0,0,0,0,0,p,0,0,0,0,Q,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,R,0,0,0,K,B,0,R,3304.0
2427,0,0,0,0,0,0,0,0,0,0,k,0,0,N,0,0,0,0,0,0,p,0,0,0,0,0,0,p,0,0,0,0,Q,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,0,R,0,0,K,B,0,R,3306.0
2428,0,0,0,0,0,0,0,0,0,0,k,0,0,0,0,0,0,0,0,0,p,0,0,0,0,0,0,0,N,0,0,0,Q,0,0,p,0,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,0,R,0,0,K,B,0,R,13300.0
2429,0,0,0,k,0,0,0,0,0,0,0,Q,0,0,0,0,0,0,0,0,p,0,0,0,0,0,0,0,N,0,0,0,0,0,0,p,0,0,0,0,0,0,0,N,0,0,0,0,P,0,P,P,0,P,P,P,0,R,0,0,K,B,0,R,13301.0
2430,r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,27.0
2431,r,n,b,q,k,b,n,r,p,p,0,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,p,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,0,R,126.0
2432,r,n,b,0,k,b,n,r,p,p,q,p,p,p,p,p,0,0,0,0,0,0,0,0,0,0,p,0,N,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,P,P,P,P,P,0,P,P,R,N,B,Q,K,B,0,R,126.0
2433,r,n,b,0,k,b,n,r,p,p,q,p,p,p,p,0,0,0,0,0,0,0,0,0,0,0,p,0,N,0,0,p,0,0,0,0,0,P,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,0,P,P,R,0,B,Q,K,B,0,R,132.5
2434,r,n,b,0,k,b,n,r,p,p,q,p,p,0,p,0,0,0,0,0,0,0,N,0,0,0,p,0,0,p,0,p,0,0,0,0,0,P,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,0,P,P,R,0,B,Q,K,B,0,R,334.5
2435,r,n,b,0,k,b,n,r,p,p,0,p,p,0,p,0,0,0,0,0,0,0,0,0,0,0,p,0,0,p,0,p,0,0,0,0,0,N,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,0,P,P,R,0,B,Q,K,B,0,R,837.0
2436,r,n,b,0,k,b,n,r,p,p,0,p,p,0,0,0,0,0,0,0,0,0,N,0,0,0,p,0,0,p,0,p,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,P,P,P,P,P,0,P,P,R,0,B,Q,K,B,0,R,1229.5
